Agency,City,State,Population,1985 ,1986 ,1987 ,1988 ,1989 ,1990 ,1991 ,1992 ,1993 ,1994 ,1995 ,1996 ,1997 ,1998 ,1999 ,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 
Nashville-Davidson Metro Police Dept,NASHVILLE,TN,691243,0.004883955,0.006102051,0.007599354,0.00765288,0.009961765,0.009961765,0.011557441,0.012125982,0.013257277,0.013562524,0.013563971,0.014497073,0.013441004,0.012369022,0.012159255,0.012988197,0.01309959,0.012562876,0.012053648,0.012463056,0.01298241,0.012390722,0.012315495,0.012101388,0.010067371,0.009840244,0.010472439,0.010922353,0.009644944,0.010544772
San Bernardino Police Dept,SAN BERNADINO,CA,216995,0.010359686,0.010788267,0.011175373,0.01210627,0,0,0,0.026710293,0.025650361,0.018797668,0.0181018,0.014898961,0.013290629,0.010954169,0.00930897,0.009696076,0.011046337,0.011447268,0.013198461,0.012143137,0.011567087,0.009295145,0.009908062,0.009557824,0.008792829,0.007484043,0.008576234,0.009318187,0.008981774,0.009806678
Minneapolis Police Dept,MINNEAPOLIS,MN,422331,0.01215871,0.014109786,0.013112937,0.013022961,0,0,0.013944039,0.014678061,0.015345783,0.016749895,0.016754631,0.016120057,0.015942472,0.013079788,0.01170409,0.01042784,0.009710393,0.009762485,0.010695402,0.011190275,0.01516583,0.015092428,0.013212386,0.011315769,0.010044254,0.009622784,0.008812993,0.009168164,0.009561221,0.009691451
New Orleans Police Dept,NEW ORLEANS,LA,393292,0.020905587,0.023303296,0.01952239,0.022687977,0.02854622,0.02854622,0.027890219,0.025444199,0.025487424,0.023699948,0.027653753,0.028022436,0.021368347,0.017513705,0.015080398,0.01310731,0.014943096,0.011584268,0.011685974,0.011357973,0,0.005733653,0.008774651,0.007294834,0.006646461,0.006593066,0.006987175,0.007521129,0.007538928,0.009585753
Houston Police Dept,HOUSTON,TX,2313000,0.007116732,0.008895806,0.008201902,0.008567661,0.009786857,0.009786857,0.011522265,0.010738003,0.010838305,0.009937743,0.009623865,0.009708604,0.009146995,0.008725897,0.009302637,0.009291396,0.010124946,0.010790316,0.010370947,0.010128405,0.010370514,0.01048422,0.010619974,0.010712927,0.011064851,0.009723735,0.009032425,0.009342845,0.009076092,0.009514916
Chattanooga Police Dept,CHATANOOGA,TN,179319,0.008415171,0.009965481,0.011671937,0.013579152,0.019345412,0.019345412,0.01894947,0.016294983,0.016908415,0.012586508,0.010885628,0.011961923,0.014755826,0.015296762,0.015056966,0.015263302,0.015720587,0.013406276,0.011376374,0.011236958,0.009876254,0.010863322,0.011275994,0.010467379,0.009976634,0.00873304,0.008141915,0.009530502,0.009474735,0.009463582
Anchorage Police Dept,ANCHORAGE,AK,294356,0.00402234,0.004069902,0.003482178,0.003811711,0.004518338,0.004518338,0.005670005,0.006695974,0.007518107,0.008418378,0.00852709,0.007059479,0.006417399,0.005544307,0.005717566,0.005177404,0.005938388,0.005846662,0.005924799,0.007351642,0.006899808,0.008805664,0.008170379,0.008992512,0.00845235,0.008262104,0.008112626,0.008421775,0.008272296,0.008849828
Albuquerque Police Dept,ALBUQUERQUE,NM,558545,0.007349453,0.007684251,0.006883957,0.007653815,0.009168464,0.009168464,0.010009937,0.011042978,0.011988291,0.012007985,0.008477383,0.011220224,0.010163908,0.009959806,0.009408374,0.00919532,0.009415535,0.0087531,0.007947435,0.008450528,0.008361009,0.008146165,0.009095059,0.008446947,0.007308274,0.007682461,0.00753207,0.007431809,0.007743333,0.008833666
Beaumont Police Dept,BEAUMONT,TX,119114,0.008185436,0.009327199,0.010737613,0.011829004,0.015472572,0.015472572,0.01633729,0.016799033,0.012307537,0.011862585,0.010326242,0.010510939,0.010871938,0.010292661,0.011107007,0.009008177,0.009352385,0.009654617,0.00882348,0.008899038,0.00948671,0.009696593,0.009008177,0.008521249,0.008412109,0.007555787,0.008974596,0.010426986,0.010284265,0.008815085
Chicago Police Dept,CHICAGO,IL,2716000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
